0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:38:16 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:38:16 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:38:19 +0800] "GET /message_board/College.jsp HTTP/1.1" 200 10434
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:38:22 +0800] "GET /message_board/Department.jsp HTTP/1.1" 200 10548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:38:25 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:38:42 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:38:43 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:38:43 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:38:44 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:39:23 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:39:24 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:39:25 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:39:29 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:39:56 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:39:59 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:40:06 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3355
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:41:10 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:41:13 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:41:13 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:41:16 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:41:23 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:45:35 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3531
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:45:37 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3531
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:45:38 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3531
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:45:39 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3531
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:46:16 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3531
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:46:17 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 500 3531
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:46:28 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:46:31 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:46:41 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:46:43 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:46:47 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:46:50 +0800] "GET /message_board/Department.jsp HTTP/1.1" 200 10422
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:46:53 +0800] "GET /message_board/College.jsp HTTP/1.1" 200 10308
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:46:55 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:47:05 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:47:08 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10251
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:47:10 +0800] "GET /message_board/Department.jsp HTTP/1.1" 200 10422
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:47:11 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:47:15 +0800] "GET /message_board/Department.jsp HTTP/1.1" 200 10548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:47:24 +0800] "GET /message_board/College.jsp HTTP/1.1" 200 10434
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:47:27 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:47:31 +0800] "GET /message_board/Department.jsp HTTP/1.1" 200 10548
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:47:34 +0800] "GET /message_board/College.jsp HTTP/1.1" 200 10434
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:47:43 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:48:08 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:48:09 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:48:09 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:48:11 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:48:13 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:48:14 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:48:15 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:48:17 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
0:0:0:0:0:0:0:1 - - [15/Jan/2017:15:48:19 +0800] "GET /message_board/Principal.jsp HTTP/1.1" 200 10377
