0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//JS/sangarSlider/sangarResetSlider.js HTTP/1.1" 200 6608
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//JS/sangarSlider.js HTTP/1.1" 200 8368
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//JS/sangarSlider/sangarTextbox.js HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//img/logo1.png HTTP/1.1" 200 40615
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//img/facebook.png HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//img/twitter.png HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//img/Google+.png HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//img/telegram.png HTTP/1.1" 200 317
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//img/lb1.jpg HTTP/1.1" 200 272921
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//img/lb2.jpg HTTP/1.1" 200 111933
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//img/lb3.jpg HTTP/1.1" 200 300000
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board/img/latest.png HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board/img/hot.png HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board/img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board/img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//img/search.png HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//assets/themes/default/images/right-arrow.png HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /message_board//assets/themes/default/images/left-arrow.png HTTP/1.1" 200 3459
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:29:58 +0800] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:45 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 12994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:45 +0800] "GET /message_board//JS/main.js HTTP/1.1" 200 3695
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:45 +0800] "GET /message_board//img/message.png HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:45 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 8994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:46 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 19280
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:46 +0800] "GET /message_board//img/latest.png HTTP/1.1" 200 1718
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:46 +0800] "GET /message_board//img/hot.png HTTP/1.1" 200 1542
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:46 +0800] "GET /message_board//img/principal.png HTTP/1.1" 200 2326
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:46 +0800] "GET /message_board//img/department.png HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:47 +0800] "GET /message_board//Department.jsp?object=all HTTP/1.1" 200 17097
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:32:48 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 19280
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:33:01 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 19280
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:33:31 +0800] "GET /message_board//Principal.jsp?object=all HTTP/1.1" 200 17111
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:33:36 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 19280
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:33:47 +0800] "GET /message_board//Message.jsp HTTP/1.1" 200 12994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:33:47 +0800] "GET /message_board//CSS/code_bg.jpg HTTP/1.1" 404 8994
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:33:54 +0800] "GET /message_board//index.jsp HTTP/1.1" 200 19280
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:02 +0800] "GET /message_board//Details.jsp?index=23 HTTP/1.1" 200 10587
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:13 +0800] "GET /message_board//Details.jsp?index=23 HTTP/1.1" 200 10587
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:15 +0800] "GET /message_board//Details.jsp?index=23 HTTP/1.1" 200 10587
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:16 +0800] "GET /message_board//Details.jsp?index=23 HTTP/1.1" 200 10587
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:16 +0800] "GET /message_board//Details.jsp?index=23 HTTP/1.1" 200 10587
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:17 +0800] "GET /message_board//Details.jsp?index=23 HTTP/1.1" 200 10587
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:17 +0800] "GET /message_board//Details.jsp?index=23 HTTP/1.1" 200 10587
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:17 +0800] "GET /message_board//Details.jsp?index=23 HTTP/1.1" 200 10587
0:0:0:0:0:0:0:1 - - [03/Apr/2017:12:34:25 +0800] "GET /message_board//Latest.jsp HTTP/1.1" 200 15123
